Pkey,Module,Section,Area,ProcName,Password,Location,MachineNo,Machine,hasFace,Enable,CreateTime,UpdateTime
127,4,SMK,SMKLUV(UV#4),SMKLUV,7625,,SMKLUV1053,H3 UV#04(3F),0,1,2025-02-11 14:13:32.230,2025-02-11 14:13:32.230
126,4,SMK,SMKVDF(LAM#4),SMKVDF,2553,,SMKLAM1043,H3 SM LAM壓膜機 #04,0,1,2025-02-11 14:09:10.210,2025-02-11 14:09:10.210
125,3,SAP,PTHFCU-UVCP#9,PTHFCU,4899,,PTHFCU3013,H3 Cu Plating UVCP#09,0,1,2025-02-08 13:08:59.720,2025-02-08 13:08:59.720
124,0,PTH,TEST,SAPECU,9999,,,,0,1,2024-08-15 00:00:00.000,2024-08-15 00:00:00.000
123,1,CCF,CZ 檢驗記錄,"LTHRAP,LTHADF",4294,,,,1,1,2024-06-19 17:00:09.887,2024-06-19 17:00:09.887
122,1,CCU,PLGSTN-MAPPING,PLGSTN,2174,,,,1,1,2024-06-19 17:00:09.887,2024-06-19 17:00:09.887
121,1,CCU,PLGPOS-MAPPING,PLGPOS,2154,,,,1,1,2024-06-19 17:00:09.887,2024-06-19 17:00:09.887
120,4,IMT,IMTPRE-MAPPING,"IMTPRE,HSFPRE",6951,,,,1,1,2024-06-19 17:00:09.887,2024-06-19 17:00:09.887
119,2,PTH,ECU 外觀檢驗,SAPECU,9014,,,,1,1,2024-06-19 17:00:09.887,2024-06-19 17:00:09.887
118,4,IMT,IMTIMT-MAPPING,IMTIMT,7170,,,,1,1,2024-06-19 17:00:09.887,2024-06-19 17:00:09.887
117,4,SMK,SMKAVI-MAPPING,SMKAVI,6788,,,,1,1,2024-06-19 17:00:09.887,2024-06-19 17:00:09.887
116,4,IMT,IMTDSC-MAPPING,IMTDSC,6930,,,,1,1,2024-06-19 17:00:09.887,2024-06-19 17:00:09.887
115,1,CCF,CORE 線路顯影,"LTHDES,LTHHES",4593,,,,1,1,2024-06-19 17:00:09.887,2024-06-19 17:00:09.887
