Pkey,AreaID,UploadTime,SystemTime,Class,LastEndTime,StartTime,EndTime,Partnum,Lotnum,Layer,ProcName,EQID,MachineNo,IType,Inputpcs,Outputpcs,WID,User,OP,Remark,NCN,Version,Flag,Count,CreateTime,Enable
1,51,2024-01-12 21:46:35.000,2024-01-12 14:47:00.000,D,2024-01-12 14:15:00.000,2024-01-12 14:49:00.000,2024-01-12 15:46:00.000,2230201B01,23CL3026-01-01,-L5L12,ABF2MPO1,H3 直立式烤箱 BOX OVEN# 01-B1,ABFMPO2013,QE1_急料實驗,1,1,Z0216,藍帝,藍帝,NA,NULL,2.0.23.12.25.1,1,0,NULL,1
2,51,2024-01-12 21:46:35.000,2024-01-12 14:38:33.123,D,2024-01-12 14:05:00.000,2024-01-12 14:41:17.000,2024-01-12 15:33:38.287,5131G50BT3,23CM3042-02-00,-L2L9,ABF2MPO1,H3 直立式烤箱 BOX OVEN #02-B2,ABFMPO2053,C_量產,28,28,Z0216,"藍帝                ",藍帝,NA,NULL,2.0.23.12.25.1,1,0,NULL,1
3,51,2024-01-12 21:46:35.000,2024-01-12 14:38:30.267,D,2024-01-12 14:25:00.000,2024-01-12 14:41:17.000,2024-01-12 15:33:37.890,2490Y14B03,23CR3032-02-00,-L4L9,ABF2MPO1,H3 直立式烤箱 BOX OVEN #02-B2,ABFMPO2053,C_量產,48,48,Z0216,"藍帝                ",藍帝,NA,NULL,2.0.23.12.25.1,1,0,NULL,1
4,51,2024-01-12 21:16:14.000,2024-01-12 13:32:00.000,D,2024-01-12 13:19:00.000,2024-01-12 13:35:00.000,2024-01-12 14:28:00.000,2231551A02,23CP3016-05-00,-L2L9,ABF2MPO1,H3 直立式烤箱 BOX OVEN# 04-B4,ABFMPO2123,C_量產,48,48,Z1116,畢西,畢西,NA,NULL,2.0.23.12.25.1,1,0,NULL,1
5,51,2024-01-12 21:41:31.000,2024-01-12 13:47:13.340,D,2024-01-12 13:31:00.000,2024-01-12 13:48:55.000,2024-01-12 14:44:09.763,MFDME12B01,24193015-02-00,-L2L3,ABF1MPO1,H3 直立式烤箱 BOX OVEN #02-B1,ABFMPO2023,E3_實驗3,45,45,Z0216,"藍帝                ",藍帝,NA,NULL,2.0.23.12.25.1,1,0,NULL,1
6,51,2024-01-12 21:41:31.000,2024-01-12 13:47:05.357,D,2024-01-12 13:09:00.000,2024-01-12 13:48:56.000,2024-01-12 14:44:10.150,MFDME02C01,241A3005-01-00,-L2L3,ABF1MPO1,H3 直立式烤箱 BOX OVEN #02-B1,ABFMPO2023,E3_實驗3,45,45,Z0216,"藍帝                ",藍帝,NA,NULL,2.0.23.12.25.1,1,0,NULL,1
7,51,2024-01-12 21:16:14.000,2024-01-12 14:10:50.877,D,2024-01-12 13:53:00.000,2024-01-12 14:12:03.000,2024-01-12 14:39:07.243,2231510B04,24143013-01-00,-L4L5,ABF1MPO1,H3 直立式烤箱 BOX OVEN# 04-B1,ABFMPO2073,C_量產,48,48,Z1116,"畢西                ",畢西,NA,NULL,2.0.23.12.25.1,1,0,NULL,1
8,51,2024-01-12 21:16:14.000,2024-01-12 14:26:07.993,D,2024-01-12 14:16:00.000,2024-01-12 14:28:40.000,2024-01-12 15:03:03.717,2231539A02,24133023-01-00,-L3L6,ABF2MPO1,H3 直立式烤箱 BOX OVEN# 04-B2,ABFMPO2083,C_量產,27,27,Z1116,"畢西                ",畢西,NA,NULL,2.0.23.12.25.1,1,0,NULL,1
9,51,2024-01-12 21:16:14.000,2024-01-12 14:26:14.073,D,2024-01-12 14:09:00.000,2024-01-12 14:28:40.000,2024-01-12 15:03:19.970,2231585A01,24133008-01-00,-L3L6,ABF2MPO1,H3 直立式烤箱 BOX OVEN# 04-B2,ABFMPO2083,QS_急料樣品,3,3,Z1116,"畢西                ",畢西,NA,NULL,2.0.23.12.25.1,1,0,NULL,1
10,51,2024-01-12 21:41:31.000,2024-01-12 14:43:00.000,D,2024-01-12 14:37:00.000,2024-01-12 14:48:00.000,2024-01-12 15:38:00.000,2231541A02,24133026-01-00,-L3L6,ABF2MPO1,H3 直立式烤箱 BOX OVEN# 04-B3,ABFMPO2113,C_量產,36,36,79154,木利諾,木利諾,NA,NULL,2.0.23.12.25.1,1,0,NULL,1
11,51,2024-01-12 21:41:31.000,2024-01-12 14:47:00.000,D,2024-01-12 14:35:00.000,2024-01-12 14:49:00.000,2024-01-12 15:46:00.000,2230201B01,23CL3026-01-00,-L5L12,ABF2MPO1,H3 直立式烤箱 BOX OVEN# 01-B1,ABFMPO2013,QC_急單量產,27,27,Z0216,藍帝,藍帝,NA,NULL,2.0.23.12.25.1,1,0,NULL,1
12,50,NULL,1900-01-01 00:00:00.000,N,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,MFDME29A07,238O3007-01-41,-L2L5,ABF2CLN1,,,E3_實驗3,0,0,,,12401,NULL,NULL,,0,0,NULL,1
