Pkey,PID,AreaID,CID,Lotnum,ProcName,LayerName,ParameterName,ParameterVaules,SystemTime,UploadTime,Count,Face
1,1,51,197,23CL3026-01-01,ABF2MPO1,-L5L12,檢驗片數,1,2024-01-12 14:31:28.300,2024-01-12 20:43:42.000,0,1
2,1,51,197,23CL3026-01-01,ABF2MPO1,-L5L12,檢驗片數,1,2024-01-12 14:31:28.300,2024-01-12 20:43:43.000,0,2
3,1,51,198,23CL3026-01-01,ABF2MPO1,-L5L12,檢驗板編,1,2024-01-12 14:31:28.300,2024-01-12 20:54:40.000,0,1
4,1,51,198,23CL3026-01-01,ABF2MPO1,-L5L12,檢驗板編,1,2024-01-12 14:31:28.300,2024-01-12 20:54:40.000,0,2
5,1,51,199,23CL3026-01-01,ABF2MPO1,-L5L12,片檢驗顆數,110,2024-01-12 14:31:28.300,2024-01-12 21:41:34.000,0,1
6,1,51,199,23CL3026-01-01,ABF2MPO1,-L5L12,片檢驗顆數,110,2024-01-12 14:31:28.300,2024-01-12 21:41:36.000,0,2
7,1,51,200,23CL3026-01-01,ABF2MPO1,-L5L12,板面破損,0,2024-01-12 14:31:28.300,2024-01-12 21:41:38.000,0,1
8,1,51,200,23CL3026-01-01,ABF2MPO1,-L5L12,板面破損,0,2024-01-12 14:31:28.300,2024-01-12 21:41:39.000,0,2
9,1,51,201,23CL3026-01-01,ABF2MPO1,-L5L12,板面刮傷,0,2024-01-12 14:31:28.300,2024-01-12 21:41:39.000,0,1
10,1,51,201,23CL3026-01-01,ABF2MPO1,-L5L12,板面刮傷,0,2024-01-12 14:31:28.300,2024-01-12 21:41:39.000,0,2
11,1,51,202,23CL3026-01-01,ABF2MPO1,-L5L12,手紋印,0,2024-01-12 14:31:28.300,2024-01-12 21:42:47.000,0,1
12,1,51,202,23CL3026-01-01,ABF2MPO1,-L5L12,手紋印,0,2024-01-12 14:31:28.300,2024-01-12 21:42:48.000,0,2
13,1,51,203,23CL3026-01-01,ABF2MPO1,-L5L12,板面污染,0,2024-01-12 14:31:28.300,2024-01-12 21:42:48.000,0,1
14,1,51,203,23CL3026-01-01,ABF2MPO1,-L5L12,板面污染,0,2024-01-12 14:31:28.300,2024-01-12 21:42:51.000,0,2
15,1,51,204,23CL3026-01-01,ABF2MPO1,-L5L12,其他主缺,0,2024-01-12 14:31:28.300,2024-01-12 21:42:54.000,0,1
16,1,51,204,23CL3026-01-01,ABF2MPO1,-L5L12,其他主缺,0,2024-01-12 14:31:28.300,2024-01-12 21:42:55.000,0,2
17,1,51,205,23CL3026-01-01,ABF2MPO1,-L5L12,其他次缺,0,2024-01-12 14:31:28.300,2024-01-12 21:42:56.000,0,1
18,1,51,205,23CL3026-01-01,ABF2MPO1,-L5L12,其他次缺,0,2024-01-12 14:31:28.300,2024-01-12 21:43:01.000,0,2
19,1,51,206,23CL3026-01-01,ABF2MPO1,-L5L12,缺點總和,0,2024-01-12 14:31:28.300,2024-01-12 21:42:56.000,0,1
20,1,51,206,23CL3026-01-01,ABF2MPO1,-L5L12,缺點總和,0,2024-01-12 14:31:28.300,2024-01-12 21:43:01.000,0,2
21,1,51,207,23CL3026-01-01,ABF2MPO1,-L5L12,缺點率,0,2024-01-12 14:31:28.300,2024-01-12 21:42:56.000,0,1
22,1,51,207,23CL3026-01-01,ABF2MPO1,-L5L12,缺點率,0,2024-01-12 14:31:28.300,2024-01-12 21:43:01.000,0,2
23,1,51,208,23CL3026-01-01,ABF2MPO1,-L5L12,判定結果,OK,2024-01-12 14:31:28.300,2024-01-12 21:43:08.000,0,1
24,1,51,208,23CL3026-01-01,ABF2MPO1,-L5L12,判定結果,OK,2024-01-12 14:31:28.300,2024-01-12 21:43:09.000,0,2
25,2,51,197,23CM3042-02-00,ABF2MPO1,-L2L9,檢驗片數,2,2024-01-12 14:31:28.300,2024-01-12 20:43:40.000,0,1
26,2,51,197,23CM3042-02-00,ABF2MPO1,-L2L9,檢驗片數,2,2024-01-12 14:31:28.300,2024-01-12 20:43:41.000,0,2
27,2,51,198,23CM3042-02-00,ABF2MPO1,-L2L9,檢驗板編,2,2024-01-12 14:31:28.300,2024-01-12 20:54:38.000,0,1
28,2,51,198,23CM3042-02-00,ABF2MPO1,-L2L9,檢驗板編,2,2024-01-12 14:31:28.300,2024-01-12 20:54:39.000,0,2
29,2,51,199,23CM3042-02-00,ABF2MPO1,-L2L9,片檢驗顆數,256,2024-01-12 14:31:28.300,2024-01-12 21:41:22.000,0,1
30,2,51,199,23CM3042-02-00,ABF2MPO1,-L2L9,片檢驗顆數,256,2024-01-12 14:31:28.300,2024-01-12 21:41:24.000,0,2
31,2,51,200,23CM3042-02-00,ABF2MPO1,-L2L9,板面破損,0,2024-01-12 14:31:28.300,2024-01-12 21:41:38.000,0,1
32,2,51,200,23CM3042-02-00,ABF2MPO1,-L2L9,板面破損,0,2024-01-12 14:31:28.300,2024-01-12 21:41:38.000,0,2
33,2,51,201,23CM3042-02-00,ABF2MPO1,-L2L9,板面刮傷,0,2024-01-12 14:31:28.300,2024-01-12 21:41:40.000,0,1
34,2,51,201,23CM3042-02-00,ABF2MPO1,-L2L9,板面刮傷,0,2024-01-12 14:31:28.300,2024-01-12 21:41:40.000,0,2
35,2,51,202,23CM3042-02-00,ABF2MPO1,-L2L9,手紋印,0,2024-01-12 14:31:28.300,2024-01-12 21:42:45.000,0,1
36,2,51,202,23CM3042-02-00,ABF2MPO1,-L2L9,手紋印,0,2024-01-12 14:31:28.300,2024-01-12 21:42:47.000,0,2
37,2,51,203,23CM3042-02-00,ABF2MPO1,-L2L9,板面污染,0,2024-01-12 14:31:28.300,2024-01-12 21:42:49.000,0,1
38,2,51,203,23CM3042-02-00,ABF2MPO1,-L2L9,板面污染,0,2024-01-12 14:31:28.300,2024-01-12 21:42:48.000,0,2
39,2,51,204,23CM3042-02-00,ABF2MPO1,-L2L9,其他主缺,0,2024-01-12 14:31:28.300,2024-01-12 21:42:53.000,0,1
40,2,51,204,23CM3042-02-00,ABF2MPO1,-L2L9,其他主缺,0,2024-01-12 14:31:28.300,2024-01-12 21:42:54.000,0,2
41,2,51,205,23CM3042-02-00,ABF2MPO1,-L2L9,其他次缺,0,2024-01-12 14:31:28.300,2024-01-12 21:42:57.000,0,1
42,2,51,205,23CM3042-02-00,ABF2MPO1,-L2L9,其他次缺,0,2024-01-12 14:31:28.300,2024-01-12 21:42:56.000,0,2
43,2,51,206,23CM3042-02-00,ABF2MPO1,-L2L9,缺點總和,0,2024-01-12 14:31:28.300,2024-01-12 21:42:57.000,0,1
44,2,51,206,23CM3042-02-00,ABF2MPO1,-L2L9,缺點總和,0,2024-01-12 14:31:28.300,2024-01-12 21:42:56.000,0,2
45,2,51,207,23CM3042-02-00,ABF2MPO1,-L2L9,缺點率,0,2024-01-12 14:31:28.300,2024-01-12 21:42:57.000,0,1
46,2,51,207,23CM3042-02-00,ABF2MPO1,-L2L9,缺點率,0,2024-01-12 14:31:28.300,2024-01-12 21:42:56.000,0,2
47,2,51,208,23CM3042-02-00,ABF2MPO1,-L2L9,判定結果,OK,2024-01-12 14:31:28.300,2024-01-12 21:43:07.000,0,1
48,2,51,208,23CM3042-02-00,ABF2MPO1,-L2L9,判定結果,OK,2024-01-12 14:31:28.300,2024-01-12 21:43:07.000,0,2
49,3,51,197,23CR3032-02-00,ABF2MPO1,-L4L9,檢驗片數,4,2024-01-12 14:31:28.300,NULL,0,1
50,3,51,197,23CR3032-02-00,ABF2MPO1,-L4L9,檢驗片數,4,2024-01-12 14:31:28.300,NULL,0,2
51,3,51,198,23CR3032-02-00,ABF2MPO1,-L4L9,檢驗板編,33.30.17.9,2024-01-12 14:31:28.300,2024-01-12 20:54:34.000,0,1
52,3,51,198,23CR3032-02-00,ABF2MPO1,-L4L9,檢驗板編,33.30.17.9,2024-01-12 14:31:28.300,2024-01-12 20:54:37.000,0,2
53,3,51,199,23CR3032-02-00,ABF2MPO1,-L4L9,片檢驗顆數,110,2024-01-12 14:31:28.300,2024-01-12 21:41:16.000,0,1
54,3,51,199,23CR3032-02-00,ABF2MPO1,-L4L9,片檢驗顆數,110,2024-01-12 14:31:28.300,2024-01-12 21:41:18.000,0,2
55,3,51,200,23CR3032-02-00,ABF2MPO1,-L4L9,板面破損,0,2024-01-12 14:31:28.300,2024-01-12 21:41:37.000,0,1
56,3,51,200,23CR3032-02-00,ABF2MPO1,-L4L9,板面破損,0,2024-01-12 14:31:28.300,2024-01-12 21:41:37.000,0,2
57,3,51,201,23CR3032-02-00,ABF2MPO1,-L4L9,板面刮傷,0,2024-01-12 14:31:28.300,2024-01-12 21:42:44.000,0,1
58,3,51,201,23CR3032-02-00,ABF2MPO1,-L4L9,板面刮傷,0,2024-01-12 14:31:28.300,2024-01-12 21:41:40.000,0,2
59,3,51,202,23CR3032-02-00,ABF2MPO1,-L4L9,手紋印,0,2024-01-12 14:31:28.300,2024-01-12 21:42:45.000,0,1
60,3,51,202,23CR3032-02-00,ABF2MPO1,-L4L9,手紋印,0,2024-01-12 14:31:28.300,2024-01-12 21:42:46.000,0,2
61,3,51,203,23CR3032-02-00,ABF2MPO1,-L4L9,板面污染,0,2024-01-12 14:31:28.300,2024-01-12 21:42:53.000,0,1
62,3,51,203,23CR3032-02-00,ABF2MPO1,-L4L9,板面污染,0,2024-01-12 14:31:28.300,2024-01-12 21:42:49.000,0,2
63,3,51,204,23CR3032-02-00,ABF2MPO1,-L4L9,其他主缺,0,2024-01-12 14:31:28.300,2024-01-12 21:42:53.000,0,1
64,3,51,204,23CR3032-02-00,ABF2MPO1,-L4L9,其他主缺,0,2024-01-12 14:31:28.300,2024-01-12 21:42:53.000,0,2
65,3,51,205,23CR3032-02-00,ABF2MPO1,-L4L9,其他次缺,0,2024-01-12 14:31:28.300,2024-01-12 21:42:59.000,0,1
66,3,51,205,23CR3032-02-00,ABF2MPO1,-L4L9,其他次缺,0,2024-01-12 14:31:28.300,2024-01-12 21:42:58.000,0,2
67,3,51,206,23CR3032-02-00,ABF2MPO1,-L4L9,缺點總和,0,2024-01-12 14:31:28.300,2024-01-12 21:42:59.000,0,1
68,3,51,206,23CR3032-02-00,ABF2MPO1,-L4L9,缺點總和,0,2024-01-12 14:31:28.300,2024-01-12 21:42:58.000,0,2
69,3,51,207,23CR3032-02-00,ABF2MPO1,-L4L9,缺點率,0,2024-01-12 14:31:28.300,2024-01-12 21:42:59.000,0,1
70,3,51,207,23CR3032-02-00,ABF2MPO1,-L4L9,缺點率,0,2024-01-12 14:31:28.300,2024-01-12 21:42:58.000,0,2
71,3,51,208,23CR3032-02-00,ABF2MPO1,-L4L9,判定結果,OK,2024-01-12 14:31:28.300,2024-01-12 21:43:05.000,0,1
72,3,51,208,23CR3032-02-00,ABF2MPO1,-L4L9,判定結果,OK,2024-01-12 14:31:28.300,2024-01-12 21:43:06.000,0,2
73,4,51,197,23CP3016-05-00,ABF2MPO1,-L2L9,檢驗片數,4,2024-01-12 14:31:28.300,NULL,0,1
74,4,51,197,23CP3016-05-00,ABF2MPO1,-L2L9,檢驗片數,4,2024-01-12 14:31:28.300,NULL,0,2
75,4,51,198,23CP3016-05-00,ABF2MPO1,-L2L9,檢驗板編,48.39.20.15,2024-01-12 14:31:28.300,2024-01-12 20:54:10.000,0,1
76,4,51,198,23CP3016-05-00,ABF2MPO1,-L2L9,檢驗板編,48.39.20.15,2024-01-12 14:31:28.300,2024-01-12 20:54:14.000,0,2
77,4,51,199,23CP3016-05-00,ABF2MPO1,-L2L9,片檢驗顆數,64,2024-01-12 14:31:28.300,2024-01-12 21:06:56.000,0,1
78,4,51,199,23CP3016-05-00,ABF2MPO1,-L2L9,片檢驗顆數,64,2024-01-12 14:31:28.300,2024-01-12 21:06:54.000,0,2
79,4,51,200,23CP3016-05-00,ABF2MPO1,-L2L9,板面破損,0,2024-01-12 14:31:28.300,2024-01-12 21:15:04.000,0,1
80,4,51,200,23CP3016-05-00,ABF2MPO1,-L2L9,板面破損,0,2024-01-12 14:31:28.300,2024-01-12 21:15:04.000,0,2
81,4,51,201,23CP3016-05-00,ABF2MPO1,-L2L9,板面刮傷,0,2024-01-12 14:31:28.300,2024-01-12 21:15:05.000,0,1
82,4,51,201,23CP3016-05-00,ABF2MPO1,-L2L9,板面刮傷,0,2024-01-12 14:31:28.300,2024-01-12 21:15:05.000,0,2
83,4,51,202,23CP3016-05-00,ABF2MPO1,-L2L9,手紋印,0,2024-01-12 14:31:28.300,2024-01-12 21:15:06.000,0,1
84,4,51,202,23CP3016-05-00,ABF2MPO1,-L2L9,手紋印,0,2024-01-12 14:31:28.300,2024-01-12 21:15:06.000,0,2
85,4,51,203,23CP3016-05-00,ABF2MPO1,-L2L9,板面污染,0,2024-01-12 14:31:28.300,2024-01-12 21:15:07.000,0,1
86,4,51,203,23CP3016-05-00,ABF2MPO1,-L2L9,板面污染,0,2024-01-12 14:31:28.300,2024-01-12 21:15:06.000,0,2
87,4,51,204,23CP3016-05-00,ABF2MPO1,-L2L9,其他主缺,0,2024-01-12 14:31:28.300,2024-01-12 21:15:07.000,0,1
88,4,51,204,23CP3016-05-00,ABF2MPO1,-L2L9,其他主缺,0,2024-01-12 14:31:28.300,2024-01-12 21:15:08.000,0,2
89,4,51,205,23CP3016-05-00,ABF2MPO1,-L2L9,其他次缺,0,2024-01-12 14:31:28.300,2024-01-12 21:15:10.000,0,1
90,4,51,205,23CP3016-05-00,ABF2MPO1,-L2L9,其他次缺,0,2024-01-12 14:31:28.300,2024-01-12 21:15:09.000,0,2
91,4,51,206,23CP3016-05-00,ABF2MPO1,-L2L9,缺點總和,0,2024-01-12 14:31:28.300,2024-01-12 21:15:10.000,0,1
92,4,51,206,23CP3016-05-00,ABF2MPO1,-L2L9,缺點總和,0,2024-01-12 14:31:28.300,2024-01-12 21:15:09.000,0,2
93,4,51,207,23CP3016-05-00,ABF2MPO1,-L2L9,缺點率,0,2024-01-12 14:31:28.300,2024-01-12 21:15:10.000,0,1
94,4,51,207,23CP3016-05-00,ABF2MPO1,-L2L9,缺點率,0,2024-01-12 14:31:28.300,2024-01-12 21:15:09.000,0,2
95,4,51,208,23CP3016-05-00,ABF2MPO1,-L2L9,判定結果,OK,2024-01-12 14:31:28.300,2024-01-12 21:15:14.000,0,1
96,4,51,208,23CP3016-05-00,ABF2MPO1,-L2L9,判定結果,OK,2024-01-12 14:31:28.300,2024-01-12 21:15:16.000,0,2
97,5,51,197,24193015-02-00,ABF1MPO1,-L2L3,檢驗片數,4,2024-01-12 14:31:28.300,NULL,0,1
98,5,51,197,24193015-02-00,ABF1MPO1,-L2L3,檢驗片數,4,2024-01-12 14:31:28.300,NULL,0,2
99,5,51,198,24193015-02-00,ABF1MPO1,-L2L3,檢驗板編,45.34.26.18,2024-01-12 14:31:28.300,2024-01-12 20:53:55.000,0,1
100,5,51,198,24193015-02-00,ABF1MPO1,-L2L3,檢驗板編,45.34.26.18,2024-01-12 14:31:28.300,2024-01-12 20:53:59.000,0,2
101,5,51,199,24193015-02-00,ABF1MPO1,-L2L3,片檢驗顆數,256,2024-01-12 14:31:28.300,2024-01-12 21:40:36.000,0,1
102,5,51,199,24193015-02-00,ABF1MPO1,-L2L3,片檢驗顆數,256,2024-01-12 14:31:28.300,2024-01-12 21:40:37.000,0,2
103,5,51,200,24193015-02-00,ABF1MPO1,-L2L3,板面破損,0,2024-01-12 14:31:28.300,2024-01-12 21:40:40.000,0,1
104,5,51,200,24193015-02-00,ABF1MPO1,-L2L3,板面破損,0,2024-01-12 14:31:28.300,2024-01-12 21:40:41.000,0,2
105,5,51,201,24193015-02-00,ABF1MPO1,-L2L3,板面刮傷,0,2024-01-12 14:31:28.300,2024-01-12 21:40:41.000,0,1
106,5,51,201,24193015-02-00,ABF1MPO1,-L2L3,板面刮傷,0,2024-01-12 14:31:28.300,2024-01-12 21:40:41.000,0,2
107,5,51,202,24193015-02-00,ABF1MPO1,-L2L3,手紋印,0,2024-01-12 14:31:28.300,2024-01-12 21:40:43.000,0,1
108,5,51,202,24193015-02-00,ABF1MPO1,-L2L3,手紋印,0,2024-01-12 14:31:28.300,2024-01-12 21:40:43.000,0,2
109,5,51,203,24193015-02-00,ABF1MPO1,-L2L3,板面污染,0,2024-01-12 14:31:28.300,2024-01-12 21:40:44.000,0,1
110,5,51,203,24193015-02-00,ABF1MPO1,-L2L3,板面污染,0,2024-01-12 14:31:28.300,2024-01-12 21:40:44.000,0,2
111,5,51,204,24193015-02-00,ABF1MPO1,-L2L3,其他主缺,0,2024-01-12 14:31:28.300,2024-01-12 21:40:46.000,0,1
