Pkey,AreaID,PID,Area,ProcName,Password,ParameterName,EnglishName,isQuery,QID,isRequire,DefaultValues,hasFace,OnlyDisplay,Enable,CreateTime,UpdateTime
1,4,1,MDLDBR,NULL,,板厚,Core thickness,1,1,1,,NULL,0,1,2024-06-19 17:11:46.383,2024-06-19 17:11:46.383
2,1,1,WPRWPR,NULL,,咬蝕量,,1,133,1,,NULL,0,1,2024-06-19 17:11:46.383,2024-06-19 17:11:46.383
3,1,2,WPRWPR,NULL,,咬蝕量規格,,1,137,1,,NULL,0,1,2024-06-19 17:11:46.383,2024-06-19 17:11:46.383
4,1,3,WPRWPR,NULL,,最大銅厚,MAX Thickness,1,3,1,,NULL,0,1,2024-06-19 17:11:46.383,2024-06-19 17:11:46.383
5,1,4,WPRWPR,NULL,,最小銅厚,MIN Thickness,1,4,1,,NULL,0,1,2024-06-19 17:11:46.383,2024-06-19 17:11:46.383
6,1,5,WPRWPR,NULL,,平均銅厚,AVG Thickness,1,5,1,,NULL,0,1,2024-06-19 17:11:46.383,2024-06-19 17:11:46.383
7,1,6,WPRWPR,NULL,,銅厚規格,,1,6,1,,NULL,0,1,2024-06-19 17:11:46.383,2024-06-19 17:11:46.383
8,1,7,WPRWPR,NULL,,線速,,0,0,1,,NULL,0,1,2024-06-19 17:11:46.383,2024-06-19 17:11:46.383
9,1,8,WPRWPR,NULL,,板邊編號(抽兩片),PNL No.,0,0,1,,NULL,0,1,2024-06-19 17:11:46.383,2024-06-19 17:11:46.383
11,2,1,MDLPOS,NULL,,板厚,Core Thickness,1,7,1,,NULL,0,1,2024-06-19 17:11:46.383,2024-06-19 17:11:46.383
12,2,2,MDLPOS,NULL,,烘烤溫度/時間(OVEN),Baking Temp/Time,0,183,1,,NULL,0,1,2024-06-19 17:11:46.383,2024-06-19 17:11:46.383
13,2,3,MDLPOS,NULL,,Rack編號,Rack No.,0,0,1,,NULL,0,1,2024-06-19 17:11:46.383,2024-06-19 17:11:46.383
14,2,4,MDLPOS,NULL,,鋼印資料,Seal Board,0,0,1,,NULL,0,1,2024-06-19 17:11:46.383,2024-06-19 17:11:46.383
28,5,1,PTHECU,NULL,,規格,,1,10,1,,NULL,0,1,2024-06-19 17:11:46.383,2024-06-19 17:11:46.383
29,6,1,PTHPCU,NULL,,鍍銅前底銅厚度,Thickness before plating,0,0,1,,NULL,0,1,2024-06-19 17:11:46.383,2024-06-19 17:11:46.383
30,6,2,PTHPCU,NULL,,電鍍線速,Speed,0,0,1,,NULL,0,1,2024-06-19 17:11:46.383,2024-06-19 17:11:46.383
31,6,3,PTHPCU,NULL,,電鍍電流,Current,0,0,1,,NULL,0,1,2024-06-19 17:11:46.383,2024-06-19 17:11:46.383
32,6,4,PTHPCU,NULL,,電流密度,,1,39,1,,NULL,0,1,2024-06-19 17:11:46.383,2024-06-19 17:11:46.383
33,6,5,PTHPCU,NULL,,最大銅厚,MAX Thickness,1,11,1,,NULL,0,1,2024-06-19 17:11:46.383,2024-06-19 17:11:46.383
34,6,6,PTHPCU,NULL,,最小銅厚,MIN Thickness,1,12,1,,NULL,0,1,2024-06-19 17:11:46.383,2024-06-19 17:11:46.383
35,6,7,PTHPCU,NULL,,平均銅厚,AVG Thickness,1,13,1,,NULL,0,1,2024-06-19 17:11:46.383,2024-06-19 17:11:46.383
36,6,8,PTHPCU,NULL,,銅厚規格,,1,14,1,,NULL,0,1,2024-06-19 17:11:46.383,2024-06-19 17:11:46.383
37,7,1,PLGANL,NULL,,烘烤溫度/時間 (OVEN),Baking Temp/Time (OVEN),1,189,1,,NULL,0,1,2024-06-19 17:11:46.383,2024-06-19 17:11:46.383
38,9,1,PLGVCP,NULL,,板厚,Core Thickness,1,15,1,,NULL,0,1,2024-06-19 17:11:46.383,2024-06-19 17:11:46.383
39,9,2,PLGVCP,NULL,,使用參數,,0,0,1,,NULL,0,1,2024-06-19 17:11:46.383,2024-06-19 17:11:46.383
40,9,3,PLGVCP,NULL,,樹酯,,1,16,1,,NULL,0,1,2024-06-19 17:11:46.383,2024-06-19 17:11:46.383
41,9,4,PLGVCP,NULL,,首片板號,,0,0,1,,NULL,0,1,2024-06-19 17:11:46.383,2024-06-19 17:11:46.383
42,9,5,PLGVCP,NULL,,樹脂罐號,,0,0,1,,NULL,0,1,2024-06-19 17:11:46.383,2024-06-19 17:11:46.383
43,10,1,PLGSTN,NULL,,網板料號,Screen Part No.,1,17,1,,NULL,0,1,2024-06-19 17:11:46.383,2024-06-19 17:11:46.383
