QID,PID,QueryCommand,QueryType,QueryValue,Filter1_operator,Filter1,Filter2_operator,Filter2,Filter3_operator,Filter3,Filter4_operator,Filter4,Filter5_operator,Filter5,CreateTime,UpdateTime
659,858,"SELECT TOP 1 [Panel_PCS]
FROM [UTCHFACMRPT_REAL].[DM].[dbo].[view_MFReportWIP_H3] WITH(NOLOCK)
WHERE [LotID] = 'VarLot' AND [ProdLayer] = 'VarLayer'",其他,,,,,,,,,,,,NULL,NULL
658,2184,"SELECT TOP 1 [PARAMETER_VALUE]
FROM [utchfacmrpt].[report].[dbo].[view_OPParam] WITH (NOLOCK)
WHERE [LayerName] = 'VarLayer'
AND [PartNum] = 'VarPart'
AND [Revision] = 'VarRev'
AND [ProcName] = 'SMK1VDF1'
AND [PARAMETER_DESC] = 'ABF產品SOLD防焊乾膜厚度中值'",OP參數,參數中值,=,SMK1VDF1,=,ABF產品SOLD防焊乾膜厚度中值,,,,,,,NULL,NULL
657,2183,"SELECT TOP 1 [PARAMETER_VALUE]
FROM [utchfacmrpt].[report].[dbo].[view_OPParam] WITH (NOLOCK)
WHERE [LayerName] = 'VarLayer'
AND [PartNum] = 'VarPart'
AND [Revision] = 'VarRev'
AND [ProcName] = 'SMK1VDF1'
AND [PARAMETER_DESC] = 'ABF產品防焊油墨(ABF product SM ink)'",OP參數,參數中值,=,SMK1VDF1,=,ABF產品防焊油墨(ABF product SM ink),,,,,,,NULL,NULL
656,2200,"SELECT TOP 1 [PARAMETER_VALUE]
FROM [utchfacmrpt].[report].[dbo].[view_OPParam] WITH (NOLOCK)
WHERE [LayerName] = 'VarLayer'
AND [PartNum] = 'VarPart'
AND [Revision] = 'VarRev'
AND [ProcName] IN ('SMK1PTR1','SMK1VDF1')
AND [PARAMETER_DESC] IN ('防焊油墨(S/M_Type)-SOLD','ABF產品防焊油墨(ABF product SM ink)')",OP參數,參數中值,IN,"SMK1PTR1,SMK1VDF1",IN,"防焊油墨(S/M_Type)-SOLD,ABF產品防焊油墨(ABF product SM ink)",,,,,,,NULL,NULL
655,2177,"SELECT TOP 1 [PARAMETER_VALUE]
FROM [utchfacmrpt].[report].[dbo].[view_OPParam] WITH (NOLOCK)
WHERE [LayerName] = 'VarLayer'
AND [PartNum] = 'VarPart'
AND [Revision] = 'VarRev'
AND [ProcName] = 'PTH1FCU1'
AND [PARAMETER_DESC] IN ('SAP 電鍍面積(SAP pattern plating area) PB1 (dm2)','SAP 電鍍面積(SAP pattern plating area) PB2 (dm2)','SAP 電鍍面積(SAP pattern plating area) PB3 (dm2)','SAP 電鍍面積(SAP pattern plating area) PB4 (dm2)','SAP 電鍍面積(SAP pattern plating area) PB5 (dm2)','SAP 電鍍面積(SAP pattern plating area) PB6 (dm2)','SAP 電鍍面積(SAP pattern plating area) PB7 (dm2)','SAP 電鍍面積(SAP pattern plating area) PB8 (dm2)','SAP 電鍍面積(SAP pattern plating area) PB9 (dm2)','SAP 電鍍面積(SAP pattern plating area) PB10 (dm2)','SAP 電鍍面積(SAP pattern plating area) PB11 (dm2)','SAP 電鍍面積(SAP pattern plating area) PB12 (dm2)','SAP 電鍍面積(SAP pattern plating area) PB13 (dm2)','SAP 電鍍面積(SAP pattern plating area) SOLD (dm2)')",OP參數,參數中值,=,PTH1FCU1,IN,"SAP 電鍍面積(SAP pattern plating area) PB1 (dm2),SAP 電鍍面積(SAP pattern plating area) PB2 (dm2),SAP 電鍍面積(SAP pattern plating area) PB3 (dm2),SAP 電鍍面積(SAP pattern plating area) PB4 (dm2),SAP 電鍍面積(SAP pattern plating area) PB5 (dm2),SAP 電鍍面積(SAP pattern plating area) PB6 (dm2),SAP 電鍍面積(SAP pattern plating area) PB7 (dm2),SAP 電鍍面積(SAP pattern plating area) PB8 (dm2),SAP 電鍍面積(SAP pattern plating area) PB9 (dm2),SAP 電鍍面積(SAP pattern plating area) PB10 (dm2),SAP 電鍍面積(SAP pattern plating area) PB11 (dm2),SAP 電鍍面積(SAP pattern plating area) PB12 (dm2),SAP 電鍍面積(SAP pattern plating area) PB13 (dm2),SAP 電鍍面積(SAP pattern plating area) SOLD (dm2)",,,,,,,NULL,NULL
654,2176,"SELECT TOP 1 [PARAMETER_VALUE]
FROM [utchfacmrpt].[report].[dbo].[view_OPParam] WITH (NOLOCK)
WHERE [LayerName] = 'VarLayer'
AND [PartNum] = 'VarPart'
AND [Revision] = 'VarRev'
AND [ProcName] = 'PTH1FCU1'
AND [PARAMETER_DESC] IN ('SAP 電鍍面積(SAP pattern plating area) PF1 (dm2)','SAP 電鍍面積(SAP pattern plating area) PF2 (dm2)','SAP 電鍍面積(SAP pattern plating area) PF3 (dm2)','SAP 電鍍面積(SAP pattern plating area) PF4 (dm2)','SAP 電鍍面積(SAP pattern plating area) PF5 (dm2)','SAP 電鍍面積(SAP pattern plating area) PF6 (dm2)','SAP 電鍍面積(SAP pattern plating area) PF7 (dm2)','SAP 電鍍面積(SAP pattern plating area) PF8 (dm2)','SAP 電鍍面積(SAP pattern plating area) PF9 (dm2)','SAP 電鍍面積(SAP pattern plating area) PF10 (dm2)','SAP 電鍍面積(SAP pattern plating area) PF11 (dm2)','SAP 電鍍面積(SAP pattern plating area) PF12 (dm2)','SAP 電鍍面積(SAP pattern plating area) PF13 (dm2)','SAP 電鍍面積(SAP pattern plating area) COMP (dm2)')",OP參數,參數中值,=,PTH1FCU1,IN,"SAP 電鍍面積(SAP pattern plating area) PF1 (dm2),SAP 電鍍面積(SAP pattern plating area) PF2 (dm2),SAP 電鍍面積(SAP pattern plating area) PF3 (dm2),SAP 電鍍面積(SAP pattern plating area) PF4 (dm2),SAP 電鍍面積(SAP pattern plating area) PF5 (dm2),SAP 電鍍面積(SAP pattern plating area) PF6 (dm2),SAP 電鍍面積(SAP pattern plating area) PF7 (dm2),SAP 電鍍面積(SAP pattern plating area) PF8 (dm2),SAP 電鍍面積(SAP pattern plating area) PF9 (dm2),SAP 電鍍面積(SAP pattern plating area) PF10 (dm2),SAP 電鍍面積(SAP pattern plating area) PF11 (dm2),SAP 電鍍面積(SAP pattern plating area) PF12 (dm2),SAP 電鍍面積(SAP pattern plating area) PF13 (dm2),SAP 電鍍面積(SAP pattern plating area) COMP (dm2)",,,,,,,NULL,NULL
653,2175,"SELECT TOP 1 'B' + CAST([PressCount] AS nvarchar) AS 增層層別
FROM [UTCHFACMRPT].[acme].[dbo].[PartInfo_ACME] WITH (NOLOCK)
WHERE [LineId] = 29 AND [PartNum] = 'VarPart' AND [Revision] = 'VarRev' AND TRIM([LayerName]) = 'VarLayer'",其他,,,,,,,,,,,,NULL,NULL
652,2173,"Imports System
  Public Class Calculator
    Public Function Calculate() as String
    Dim result As String = """"
    Dim FV As String = ""var3"".Replace(""."", """")
    Dim BV As String = ""var4"".Replace(""."", """")
    If FV.Length <4 Then
    For i As Integer = 0 to 3 - FV.Length
    FV = FV & ""0""
    Next
    End If
    If BV.Length <4 Then
    For i As Integer = 0 to 3 - BV.Length
    BV = BV & ""0""
    Next
    End If
    result = ""var1"".Substring(0, 8) & ""var2"" & ""-"" & FV.Substring(0, 4) & ""-"" & BV.Substring(0, 4)
    Return result
  End Function
End Class",欄位間計算,其他,,"料號,增層層別,正面面積,背面面積",,"Dim FV As String = Var3.Replace(""."", """")
    Dim BV As String = Var4.Replace(""."", """")
    If FV.Length <4 Then
    For i As Integer = 0 to 3 - FV.Length
    FV = FV & ""0""
    Next
    End If
    If BV.Length <4 Then
    For i As Integer = 0 to 3 - BV.Length
    BV = BV & ""0""
    Next
    End If
    result = Var1.Substring(0, 8) & Var2 & ""-"" & FV.Substring(0, 4) & ""-"" & BV.Substring(0, 4)",,,,,,,NULL,NULL
651,1997,"SELECT TOP 1 [PARAMETER_VALUE]
FROM [utchfacmrpt].[report].[dbo].[view_OPParam] WITH (NOLOCK)
WHERE [LayerName] = 'VarLayer'
AND [PartNum] = 'VarPart'
AND [Revision] = 'VarRev'
AND [ProcName] = 'SMK1AVI1'
AND [PARAMETER_DESC] = '防焊油墨(S/M_Type)-COMP'",OP參數,參數中值,=,SMK1AVI1,=,防焊油墨(S/M_Type)-COMP,,,,,,,NULL,NULL
650,2017,"SELECT TOP 1 [Panel_PCS]
FROM [UTCHFACMRPT_REAL].[DM].[dbo].[view_MFReportWIP_H3] WITH(NOLOCK)
WHERE [LotID] = 'VarLot' AND [ProdLayer] = 'VarLayer'",其他,,,,,,,,,,,,NULL,NULL
649,1996,"SELECT TOP 1 [Panel_PCS]
FROM [UTCHFACMRPT_REAL].[DM].[dbo].[view_MFReportWIP_H3] WITH(NOLOCK)
WHERE [LotID] = 'VarLot' AND [ProdLayer] = 'VarLayer'",其他,,,,,,,,,,,,NULL,NULL
648,2074,"SELECT TOP 1 [Panel_PCS]
FROM [UTCHFACMRPT_REAL].[DM].[dbo].[view_MFReportWIP_H3] WITH(NOLOCK)
WHERE [LotID] = 'VarLot' AND [ProdLayer] = 'VarLayer'",其他,,,,,,,,,,,,NULL,NULL
647,2083,"Imports System
  Public Class Calculator
    Public Function Calculate() as String
    Dim result As String = """"
    result = IF((CDbl(""var1"")) > 0,""NG"",""OK"")
    Return result
  End Function
End Class",欄位間計算,文字,,缺點率,,"IF((CDbl(Var1)) > 0,""NG"",""OK"")",,,,,,,NULL,NULL
646,2014,"Imports System
  Public Class Calculator
    Public Function Calculate() as String
    Dim result As String = """"
    result = IF((CDbl(""var1"")) > 0,""NG"",""OK"")
    Return result
  End Function
End Class",欄位間計算,文字,,缺點率,,"IF((CDbl(Var1)) > 0,""NG"",""OK"")",,,,,,,NULL,NULL
