Pkey,SystemTime,IP,HostName,Process,LogLevel,FileName,Methods,Line,AreaID,Exception,Messages
1,2024-08-13 20:08:01.787,10.46.65.155,UTCHFMCSAP07,ProductionReport_Update,INFO,D:\SVN\ProductionReport_Update\ProductionReport_Update\Proc_Update.vb,Main,47,1,,開始 WIP 資料建立
2,2024-08-13 20:08:04.063,10.46.65.155,UTCHFMCSAP07,ProductionReport_Update,INFO,D:\SVN\ProductionReport_Update\ProductionReport_Update\Proc_Update.vb,Main,49,1,,完成 WIP 資料建立
3,2024-08-13 20:08:04.063,10.46.65.155,UTCHFMCSAP07,ProductionReport_Update,INFO,D:\SVN\ProductionReport_Update\ProductionReport_Update\Proc_Update.vb,Main,56,1,,開始浮動欄位資料建立&撈取
4,2024-08-13 20:08:04.140,10.46.65.155,UTCHFMCSAP07,ProductionReport_Update,INFO,D:\SVN\ProductionReport_Update\ProductionReport_Update\Proc_Update.vb,Main,58,1,,完成浮動欄位資料建立&撈取
5,2024-08-13 20:08:04.140,10.46.65.155,UTCHFMCSAP07,ProductionReport_Update,INFO,D:\SVN\ProductionReport_Update\ProductionReport_Update\Proc_Update.vb,Main,47,2,,開始 WIP 資料建立
6,2024-08-13 20:08:08.797,10.46.65.155,UTCHFMCSAP07,ProductionReport_Update,INFO,D:\SVN\ProductionReport_Update\ProductionReport_Update\Proc_Update.vb,Main,49,2,,完成 WIP 資料建立
7,2024-08-13 20:08:08.827,10.46.65.155,UTCHFMCSAP07,ProductionReport_Update,INFO,D:\SVN\ProductionReport_Update\ProductionReport_Update\Proc_Update.vb,Main,56,2,,開始浮動欄位資料建立&撈取
8,2024-08-13 20:08:14.550,10.46.65.155,UTCHFMCSAP07,ProductionReport_Update,INFO,D:\SVN\ProductionReport_Update\ProductionReport_Update\Proc_Update.vb,Main,58,2,,完成浮動欄位資料建立&撈取
9,2024-08-13 20:08:14.550,10.46.65.155,UTCHFMCSAP07,ProductionReport_Update,INFO,D:\SVN\ProductionReport_Update\ProductionReport_Update\Proc_Update.vb,Main,47,3,,開始 WIP 資料建立
10,2024-08-13 20:08:21.177,10.46.65.155,UTCHFMCSAP07,ProductionReport_Update,INFO,D:\SVN\ProductionReport_Update\ProductionReport_Update\Proc_Update.vb,Main,49,3,,完成 WIP 資料建立
11,2024-08-13 20:08:21.193,10.46.65.155,UTCHFMCSAP07,ProductionReport_Update,INFO,D:\SVN\ProductionReport_Update\ProductionReport_Update\Proc_Update.vb,Main,56,3,,開始浮動欄位資料建立&撈取
