Pkey,AreaID,MachineNo,StartTime,EndTime,Type,Remark,MachineState
1,33,SMKDEV1033,2024-01-06 23:42:00.000,2024-01-07 00:42:00.000,其他,,PD_Run_正常生產
2,33,SMKDEV1033,2024-01-06 23:47:00.000,2024-01-07 00:47:00.000,其他,,SB_Idle_待命
3,28,SMKEXP2023,2024-01-08 07:50:00.000,2024-01-08 08:10:00.000,其他,保養,SB_Idle_待命
4,28,SMKEXP2023,2024-01-08 08:30:00.000,2024-01-08 09:10:00.000,Dummy,AUTO ALIGNMENT,SB_Idle_待命
5,28,SMKEXP2023,2024-01-08 10:10:00.000,2024-01-08 10:20:00.000,Dummy,AOIM DUMMY,SB_Idle_待命
6,28,SMKEXP2023,2024-01-08 10:20:00.000,2024-01-08 10:40:00.000,Dummy,"41 STEP ",SB_Idle_待命
7,28,SMKEXP2023,2024-01-08 10:40:00.000,2024-01-08 13:30:00.000,Dummy,WAIT WIP,SB_Idle_待命
8,42,IMTDSC1013,2024-01-11 17:29:00.000,2024-01-11 18:29:00.000,其他,,SB_Idle_待命
9,42,IMTDSC1013,2024-01-13 04:35:00.000,2024-01-13 05:35:00.000,其他,,PD_Run_正常生產
10,42,IMTDSC1013,2024-01-13 06:21:00.000,2024-01-13 07:21:00.000,其他,,SB_Idle_待命
11,42,IMTDSC1013,2024-01-13 18:03:00.000,2024-01-13 19:03:00.000,其他,,SB_Idle_待命
12,42,IMTDSC1013,2024-01-14 08:47:00.000,2024-01-14 09:47:00.000,其他,,PD_Run_正常生產
13,42,IMTDSC1013,2024-01-14 16:00:00.000,2024-01-14 17:00:00.000,其他,,SB_Idle_待命
14,42,IMTDSC1013,2024-01-14 16:21:00.000,2024-01-14 17:21:00.000,其他,,SB_Idle_待命
15,42,IMTDSC1013,2024-01-14 17:07:00.000,2024-01-14 18:07:00.000,其他,,SB_Idle_待命
16,42,IMTDSC1013,2024-01-14 17:07:00.000,2024-01-14 18:07:00.000,其他,,SB_Idle_待命
